Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,47396898,01/30/2026 01:45,01/30/2026 01:45,XAUUSD,Sell,0.030,5341.81000,0.00000,5339.93000,5341.81000,0.0000,0.0000,-188.0,-5.64,-0.15,"0[sl]",168,00:00:00:04,,,,,,,,,,,,
,47396844,01/30/2026 01:43,01/30/2026 01:44,XAUUSD,Sell,0.030,5364.88000,0.00000,5362.09000,5349.50000,0.0000,0.0000,1259.0,37.77,1.01,"0",168,00:00:01:01,,,,,,,,,,,,
,47396816,01/30/2026 01:42,01/30/2026 01:42,XAUUSD,Sell,0.030,5364.63000,0.00000,5361.86000,5364.63000,0.0000,0.0000,-277.0,-8.31,-0.22,"0[sl]",168,00:00:00:01,,,,,,,,,,,,
,47396779,01/30/2026 01:40,01/30/2026 01:41,XAUUSD,Sell,0.030,5355.71000,0.00000,5352.62000,5355.71000,0.0000,0.0000,-309.0,-9.27,-0.25,"0[sl]",168,00:00:00:14,,,,,,,,,,,,
,47396711,01/30/2026 01:39,01/30/2026 01:39,XAUUSD,Sell,0.030,5350.61000,0.00000,5347.14000,5350.61000,0.0000,0.0000,-347.0,-10.41,-0.28,"0[sl]",168,00:00:00:23,,,,,,,,,,,,
,47396611,01/30/2026 01:37,01/30/2026 01:39,XAUUSD,Sell,0.030,5349.35000,5347.65000,5360.65000,5347.65000,0.0000,0.0000,1300.0,39.00,1.05,"0[tp]",168,00:00:01:43,,,,,,,,,,,,
,47396573,01/30/2026 01:36,01/30/2026 01:37,XAUUSD,Sell,0.030,5367.87000,0.00000,5365.11000,5356.11000,0.0000,0.0000,900.0,27.00,0.73,"0",168,00:00:00:58,,,,,,,,,,,,
,47396523,01/30/2026 01:34,01/30/2026 01:35,XAUUSD,Sell,0.030,5373.02000,0.00000,5370.22000,5373.02000,0.0000,0.0000,-280.0,-8.40,-0.23,"0[sl]",168,00:00:00:32,,,,,,,,,,,,
,47396486,01/30/2026 01:33,01/30/2026 01:33,XAUUSD,Sell,0.030,5360.97000,0.00000,5358.16000,5360.97000,0.0000,0.0000,-281.0,-8.43,-0.23,"0[sl]",168,00:00:00:10,,,,,,,,,,,,
,47396440,01/30/2026 01:31,01/30/2026 01:31,XAUUSD,Sell,0.030,5355.75000,0.00000,5353.06000,5355.75000,0.0000,0.0000,-269.0,-8.07,-0.22,"0[sl]",168,00:00:00:03,,,,,,,,,,,,
,47396375,01/30/2026 01:30,01/30/2026 01:31,XAUUSD,Sell,0.030,5353.40000,5344.37000,5357.37000,5353.40000,0.0000,0.0000,397.0,11.91,0.32,"0[sl]",168,00:00:01:36,,,,,,,,,,,,
,47394998,01/30/2026 01:00,01/30/2026 01:00,XAUUSD,Buy,0.030,5404.52000,0.00000,5407.39000,5404.52000,0.0000,0.0000,-287.0,-8.61,-0.23,"0[sl]",78,00:00:00:03,,,,,,,,,,,,
,47372282,01/29/2026 09:07,01/29/2026 09:09,XAUUSD,Sell,0.070,5507.81000,5501.28000,5514.28000,5507.81000,0.0000,0.0000,647.0,45.29,1.24,"0[sl]",168,00:00:01:46,,,,,,,,,,,,
,47372231,01/29/2026 09:06,01/29/2026 09:06,XAUUSD,Sell,0.070,5511.40000,0.00000,5508.55000,5511.40000,0.0000,0.0000,-285.0,-19.95,-0.54,"0[sl]",168,00:00:00:13,,,,,,,,,,,,
,47372174,01/29/2026 09:04,01/29/2026 09:06,XAUUSD,Sell,0.070,5505.57000,0.00000,5502.74000,5505.57000,0.0000,0.0000,-283.0,-19.81,-0.53,"0[sl]",168,00:00:01:13,,,,,,,,,,,,
,47372111,01/29/2026 09:03,01/29/2026 09:03,XAUUSD,Sell,0.070,5502.14000,0.00000,5499.34000,5502.14000,0.0000,0.0000,-280.0,-19.60,-0.53,"0[sl]",168,00:00:00:10,,,,,,,,,,,,
,47372049,01/29/2026 09:01,01/29/2026 09:02,XAUUSD,Sell,0.070,5507.83000,0.00000,5505.10000,5507.83000,0.0000,0.0000,-273.0,-19.11,-0.51,"0[sl]",168,00:00:00:09,,,,,,,,,,,,
,47371990,01/29/2026 09:00,01/29/2026 09:01,XAUUSD,Sell,0.070,5505.23000,5498.35000,5511.35000,5505.23000,0.0000,0.0000,612.0,42.84,1.16,"0[sl]",168,00:00:01:33,,,,,,,,,,,,
,47371923,01/29/2026 08:58,01/29/2026 09:00,XAUUSD,Sell,0.070,5511.31000,5500.57000,5513.57000,5511.31000,0.0000,0.0000,226.0,15.82,0.43,"0[sl]",168,00:00:01:32,,,,,,,,,,,,
,47371884,01/29/2026 08:57,01/29/2026 08:57,XAUUSD,Sell,0.070,5515.64000,0.00000,5512.49000,5515.64000,0.0000,0.0000,-315.0,-22.05,-0.59,"0[sl]",168,00:00:00:16,,,,,,,,,,,,
,47371839,01/29/2026 08:55,01/29/2026 08:57,XAUUSD,Sell,0.070,5512.31000,5500.33000,5513.33000,5512.31000,0.0000,0.0000,102.0,7.14,0.19,"0[sl]",168,00:00:02:20,,,,,,,,,,,,
,47360692,01/29/2026 03:50,01/29/2026 03:53,XAUUSD,Buy,0.070,5540.77000,5547.02000,5534.02000,5540.77000,0.0000,0.0000,675.0,47.25,1.29,"0[sl]",78,00:00:02:23,,,,,,,,,,,,
,47360670,01/29/2026 03:49,01/29/2026 03:50,XAUUSD,Buy,0.070,5534.66000,0.00000,5536.71000,5534.66000,0.0000,0.0000,-205.0,-14.35,-0.39,"0[sl]",78,00:00:01:16,,,,,,,,,,,,
,47360631,01/29/2026 03:47,01/29/2026 03:49,XAUUSD,Buy,0.070,5536.93000,5549.43000,5536.43000,5536.93000,0.0000,0.0000,50.0,3.50,0.10,"0[sl]",78,00:00:01:36,,,,,,,,,,,,
,47360594,01/29/2026 03:45,01/29/2026 03:47,XAUUSD,Buy,0.070,5536.66000,5545.39000,5532.39000,5536.66000,0.0000,0.0000,427.0,29.89,0.82,"0[sl]",78,00:00:01:50,,,,,,,,,,,,
,47360563,01/29/2026 03:44,01/29/2026 03:45,XAUUSD,Buy,0.070,5532.18000,5541.46000,5528.46000,5532.18000,0.0000,0.0000,372.0,26.04,0.72,"0[sl]",78,00:00:01:41,,,,,,,,,,,,
,47360527,01/29/2026 03:41,01/29/2026 03:44,XAUUSD,Buy,0.070,5528.47000,5537.35000,5524.35000,5528.47000,0.0000,0.0000,412.0,28.84,0.81,"0[sl]",78,00:00:03:01,,,,,,,,,,,,
,47360482,01/29/2026 03:39,01/29/2026 03:41,XAUUSD,Buy,0.070,5523.48000,5535.85000,5522.85000,5523.48000,0.0000,0.0000,63.0,4.41,0.12,"0[sl]",78,00:00:01:54,,,,,,,,,,,,
,47360437,01/29/2026 03:37,01/29/2026 03:38,XAUUSD,Buy,0.070,5522.58000,0.00000,5525.39000,5522.58000,0.0000,0.0000,-281.0,-19.67,-0.55,"0[sl]",78,00:00:00:20,,,,,,,,,,,,
,47360405,01/29/2026 03:36,01/29/2026 03:36,XAUUSD,Buy,0.070,5534.72000,0.00000,5536.97000,5534.72000,0.0000,0.0000,-225.0,-15.75,-0.44,"0[sl]",78,00:00:00:34,,,,,,,,,,,,
,47360373,01/29/2026 03:34,01/29/2026 03:36,XAUUSD,Buy,0.070,5537.10000,5543.32000,5530.32000,5537.10000,0.0000,0.0000,678.0,47.46,1.33,"0[sl]",78,00:00:01:55,,,,,,,,,,,,
,47360354,01/29/2026 03:32,01/29/2026 03:34,XAUUSD,Buy,0.070,5530.15000,5541.00000,5528.00000,5530.15000,0.0000,0.0000,215.0,15.05,0.42,"0[sl]",78,00:00:02:01,,,,,,,,,,,,
,47360331,01/29/2026 03:30,01/29/2026 03:31,XAUUSD,Buy,0.070,5520.32000,0.00000,5523.16000,5531.26000,0.0000,0.0000,810.0,56.70,1.62,"0",78,00:00:01:02,,,,,,,,,,,,
,47360301,01/29/2026 03:29,01/29/2026 03:29,XAUUSD,Buy,0.070,5524.05000,0.00000,5526.91000,5524.05000,0.0000,0.0000,-286.0,-20.02,-0.57,"0[sl]",78,00:00:00:33,,,,,,,,,,,,
,47360268,01/29/2026 03:27,01/29/2026 03:28,XAUUSD,Buy,0.070,5530.40000,0.00000,5533.32000,5530.40000,0.0000,0.0000,-292.0,-20.44,-0.58,"0[sl]",78,00:00:00:14,,,,,,,,,,,,
,47360237,01/29/2026 03:26,01/29/2026 03:27,XAUUSD,Buy,0.070,5531.94000,0.00000,5534.71000,5531.94000,0.0000,0.0000,-277.0,-19.39,-0.55,"0[sl]",78,00:00:00:40,,,,,,,,,,,,
,47360201,01/29/2026 03:24,01/29/2026 03:26,XAUUSD,Buy,0.070,5534.57000,5544.34000,5531.34000,5534.57000,0.0000,0.0000,323.0,22.61,0.64,"0[sl]",78,00:00:01:49,,,,,,,,,,,,
,47360166,01/29/2026 03:22,01/29/2026 03:24,XAUUSD,Buy,0.070,5531.33000,5537.23000,5524.23000,5531.33000,0.0000,0.0000,710.0,49.70,1.43,"0[sl]",78,00:00:02:00,,,,,,,,,,,,
,47360135,01/29/2026 03:21,01/29/2026 03:22,XAUUSD,Buy,0.070,5524.46000,5537.29000,5524.29000,5524.46000,0.0000,0.0000,17.0,1.19,0.03,"0[sl]",78,00:00:01:32,,,,,,,,,,,,
,47360098,01/29/2026 03:19,01/29/2026 03:21,XAUUSD,Buy,0.070,5524.09000,5539.89000,5526.89000,5524.09000,0.0000,0.0000,-280.0,-19.60,-0.56,"0[sl]",78,00:00:01:50,,,,,,,,,,,,
,47360053,01/29/2026 03:17,01/29/2026 03:17,XAUUSD,Buy,0.070,5529.74000,0.00000,5532.55000,5529.74000,0.0000,0.0000,-281.0,-19.67,-0.56,"0[sl]",78,00:00:00:09,,,,,,,,,,,,
,47360025,01/29/2026 03:16,01/29/2026 03:16,XAUUSD,Buy,0.070,5535.62000,0.00000,5538.33000,5535.62000,0.0000,0.0000,-271.0,-18.97,-0.54,"0[sl]",78,00:00:00:35,,,,,,,,,,,,
,47359983,01/29/2026 03:14,01/29/2026 03:15,XAUUSD,Buy,0.070,5537.39000,0.00000,5539.90000,5537.39000,0.0000,0.0000,-251.0,-17.57,-0.49,"0[sl]",78,00:00:00:33,,,,,,,,,,,,
,47359915,01/29/2026 03:12,01/29/2026 03:14,XAUUSD,Buy,0.070,5539.71000,5542.01000,5529.01000,5539.71000,0.0000,0.0000,1070.0,74.90,2.15,"0[sl]",78,00:00:02:02,,,,,,,,,,,,
,47359885,01/29/2026 03:10,01/29/2026 03:12,XAUUSD,Buy,0.070,5529.22000,5541.05000,5528.05000,5529.22000,0.0000,0.0000,117.0,8.19,0.24,"0[sl]",78,00:00:01:46,,,,,,,,,,,,
,47359840,01/29/2026 03:09,01/29/2026 03:09,XAUUSD,Sell,0.070,5523.27000,0.00000,5521.76000,5523.27000,0.0000,0.0000,-151.0,-10.57,-0.30,"0[sl]",168,00:00:00:03,,,,,,,,,,,,
